Date,AAPL_Buy,AAPL_Sell,MSFT_Buy,MSFT_Sell,AMZN_Buy,AMZN_Sell,GOOG_Buy,GOOG_Sell,GOOGL_Buy,GOOGL_Sell,META_Buy,META_Sell,TSLA_Buy,TSLA_Sell,NVDA_Buy,NVDA_Sell,PYPL_Buy,PYPL_Sell,INTC_Buy,INTC_Sell,CMCSA_Buy,CMCSA_Sell,CSCO_Buy,CSCO_Sell,NFLX_Buy,NFLX_Sell,ADBE_Buy,ADBE_Sell,PEP_Buy,PEP_Sell,TMUS_Buy,TMUS_Sell,AMGN_Buy,AMGN_Sell,COST_Buy,COST_Sell,AVGO_Buy,AVGO_Sell,QCOM_Buy,QCOM_Sell,TXN_Buy,TXN_Sell,SBUX_Buy,SBUX_Sell,CHTR_Buy,CHTR_Sell,AMD_Buy,AMD_Sell,GILD_Buy,GILD_Sell,BKNG_Buy,BKNG_Sell,MDLZ_Buy,MDLZ_Sell,MELI_Buy,MELI_Sell,LRCX_Buy,LRCX_Sell,ASML_Buy,ASML_Sell,ADP_Buy,ADP_Sell,BIDU_Buy,BIDU_Sell,ISRG_Buy,ISRG_Sell,CSX_Buy,CSX_Sell,INTU_Buy,INTU_Sell,BIIB_Buy,BIIB_Sell,MAR_Buy,MAR_Sell,AAL_Buy,AAL_Sell,NKE_Buy,NKE_Sell,EA_Buy,EA_Sell,REGN_Buy,REGN_Sell,FOX_Buy,FOX_Sell,FISV_Buy,FISV_Sell,ADSK_Buy,ADSK_Sell,ATVI_Buy,ATVI_Sell,ILMN_Buy,ILMN_Sell,EXPE_Buy,EXPE_Sell,MCHP_Buy,MCHP_Sell,CTAS_Buy,CTAS_Sell,IDXX_Buy,IDXX_Sell,ZM_Buy,ZM_Sell,WDAY_Buy,WDAY_Sell,NTES_Buy,NTES_Sell,XLNX_Buy,XLNX_Sell,KLAC_Buy,KLAC_Sell,CTSH_Buy,CTSH_Sell,VRSK_Buy,VRSK_Sell,NXPI_Buy,NXPI_Sell,LULU_Buy,LULU_Sell,FAST_Buy,FAST_Sell,BMRN_Buy,BMRN_Sell,PAYX_Buy,PAYX_Sell,ALGN_Buy,ALGN_Sell,SIRI_Buy,SIRI_Sell,VRSN_Buy,VRSN_Sell,PCAR_Buy,PCAR_Sell,DLTR_Buy,DLTR_Sell,SWKS_Buy,SWKS_Sell,CSGP_Buy,CSGP_Sell,QRTEA_Buy,QRTEA_Sell,SNPS_Buy,SNPS_Sell,HSIC_Buy,HSIC_Sell,LBTYA_Buy,LBTYA_Sell,KLIC_Buy,KLIC_Sell,WDC_Buy,WDC_Sell,EXC_Buy,EXC_Sell,EXPD_Buy,EXPD_Sell,AEP_Buy,AEP_Sell,WBA_Buy,WBA_Sell,VIA.DE_Buy,VIA.DE_Sell,CDW_Buy,CDW_Sell,XEL_Buy,XEL_Sell,ANSS_Buy,ANSS_Sell,CDNS_Buy,CDNS_Sell,CTX.DE_Buy,CTX.DE_Sell,WTY.F_Buy,WTY.F_Sell,ROST_Buy,ROST_Sell,JD_Buy,JD_Sell,ADS.DE_Buy,ADS.DE_Sell,ALV_Buy,ALV_Sell,BAS.DE_Buy,BAS.DE_Sell,BAYN.DE_Buy,BAYN.DE_Sell,BEI.DE_Buy,BEI.DE_Sell,BMW.DE_Buy,BMW.DE_Sell,CON_Buy,CON_Sell,MBG.DE_Buy,MBG.DE_Sell,DBK.DE_Buy,DBK.DE_Sell,DB1.DE_Buy,DB1.DE_Sell,DHER.DE_Buy,DHER.DE_Sell,DPW.DE_Buy,DPW.DE_Sell,DTE_Buy,DTE_Sell,DWNI.DE_Buy,DWNI.DE_Sell,EOAN.DE_Buy,EOAN.DE_Sell,FRE.DE_Buy,FRE.DE_Sell,FME.DE_Buy,FME.DE_Sell,HEI_Buy,HEI_Sell,HEN3.DE_Buy,HEN3.DE_Sell,IFX.DE_Buy,IFX.DE_Sell,LIN_Buy,LIN_Sell,MTX_Buy,MTX_Sell,MUV2.DE_Buy,MUV2.DE_Sell,RWE.DE_Buy,RWE.DE_Sell,SAP_Buy,SAP_Sell,SIE.DE_Buy,SIE.DE_Sell,VNA.DE_Buy,VNA.DE_Sell,VOW3.DE_Buy,VOW3.DE_Sell,AXP_Buy,AXP_Sell,BA_Buy,BA_Sell,CAT_Buy,CAT_Sell,CRM_Buy,CRM_Sell,CVX_Buy,CVX_Sell,DIS_Buy,DIS_Sell,DOW_Buy,DOW_Sell,GS_Buy,GS_Sell,HD_Buy,HD_Sell,HON_Buy,HON_Sell,IBM_Buy,IBM_Sell,JNJ_Buy,JNJ_Sell,JPM_Buy,JPM_Sell,KO_Buy,KO_Sell,MCD_Buy,MCD_Sell,MMM_Buy,MMM_Sell,PG_Buy,PG_Sell,TRV_Buy,TRV_Sell,UNH_Buy,UNH_Sell,V_Buy,V_Sell,VZ_Buy,VZ_Sell,WMT_Buy,WMT_Sell
2023-08-07 00:00:00,2,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,2,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,2,2,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0
2023-08-08 00:00:00,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,2,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,2,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,2,2,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0
2023-08-09 00:00:00,2,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,2,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0
2023-08-10 00:00:00,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,2,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0
2023-08-11 00:00:00,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,2,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,2,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0
2023-08-14 00:00:00,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0
2023-08-15 00:00:00,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,2,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1
2023-08-16 00:00:00,0,1,0,1,1,0,0,1,0,1,0,1,2,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,2,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,2,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,2,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
2023-08-17 00:00:00,1,1,0,1,0,1,0,1,0,1,0,1,2,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,2,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,2,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,2,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1
2023-08-18 00:00:00,1,1,0,1,0,1,0,1,0,1,0,1,2,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,2,1,2,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,2,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
